n,a,b,c,p,lambda,delta,chi_delta,ap_L_lambda,N,factorization_N,q,h,k,b_mov
3,1,22,33,1009,994,61,-1,50,1060,2^2;5^1;53^1,53,20,52,519
3,1,22,33,10007,3019,2079,-1,-104,9904,2^4;619^1,619,16,618,8213
3,1,22,33,100003,31748,2079,1,-100,100104,2^3;3^1;43^1;97^1,97,1032,24,399
3,1,22,33,1000003,746035,2079,-1,652,1000656,2^4;3^2;6949^1,6949,144,6948,138485
3,1,22,33,10000019,2063497,2079,-1,5068,10005088,2^5;73^1;4283^1,4283,2336,4282,99572
3,1,22,33,100000007,15873018,2079,-1,-17576,99982432,2^5;11^1;284041^1,284041,352,23670,629041
3,1,22,33,1000000007,15873017,2079,1,-2248,1000002256,2^4;11^1;37^1;153563^1,153563,6512,153562,4591098
3,1,22,33,10000000019,4920634931,2079,1,199068,9999800952,2^3;3^1;416658373^1,416658373,24,34721531,1153424294
3,1,22,33,100000000003,31746031748,2079,1,-5732,100000005736,2^3;12500000717^1,12500000717,8,3125000179,114191284803
3,1,22,33,1000000000039,174603174611,2079,-1,-1465128,999998534912,2^8;13^1;3449^1;87121^1,87121,11478272,87120,3472877
3,1,33,46,1009,25,380,-1,-14,996,2^2;3^1;83^1,83,12,82,819
3,1,33,46,10007,35,4416,-1,-72,9936,2^4;3^3;23^1,23,432,11,147
3,1,33,46,100003,94637,4416,-1,-204,99800,2^3;5^2;499^1,499,200,166,2758
3,1,33,46,1000003,794161,4416,1,100,999904,2^5;31247^1,31247,32,15623,311391
3,1,33,46,10000019,5006804,4416,1,5836,9994184,2^3;1249273^1,1249273,8,312318,7262487
3,1,33,46,100000007,73165767,4416,-1,-14744,99985264,2^4;109^1;57331^1,57331,1744,28665,761785
3,1,33,46,1000000007,775135876,4416,-1,-57072,999942936,2^3;3^1;41664289^1,41664289,24,5208036,155706491
3,1,33,46,10000000019,9354619584,4416,-1,130428,10000130448,2^4;3^1;7^1;11^1;2705663^1,2705663,3696,2705662,89880147
3,1,33,46,100000000003,31589673915,4416,1,-163536,100000163540,2^2;5^1;2903^1;1722359^1,1722359,58060,1722358,62937044
