n,a,b,c,p,lambda,delta,chi_delta,ap_L_lambda,N,factorization_N,q,h,k,b_mov
12,4,6,22,1009,828,528,-1,22,1032,2^3;3^1;43^1,43,24,42,420
12,4,6,22,10007,8190,528,1,24,9984,2^8;3^1;13^1,13,768,6,80
12,4,6,22,100003,27276,528,-1,-200,99804,2^2;3^1;8317^1,8317,12,4158,69064
12,4,6,22,1000003,636368,528,1,1124,998880,2^5;3^1;5^1;2081^1,2081,480,130,2592
12,4,6,22,10000019,3636373,528,1,4796,9995224,2^3;1249403^1,1249403,8,624701,14526485
12,4,6,22,100000007,81818190,528,1,6424,99993584,2^4;307^1;20357^1,20357,4912,20356,540970
12,4,6,22,1000000007,90909094,528,1,14136,999985872,2^4;3^1;20833039^1,20833039,48,771594,23068619
12,4,6,22,10000000019,7272727289,528,-1,108100,10000108120,2^3;5^1;19^1;839^1;15683^1,15683,637640,15682,520945
12,4,6,22,100000000003,27272727276,528,-1,499352,100000499356,2^2;197^1;929^1;136603^1,136603,732052,15178,554623
12,4,6,22,1000000000039,363636363653,528,-1,696332,1000000696372,2^2;137^1;229^1;7968641^1,7968641,125492,7968640,317654990
12,4,13,33,1009,341,537,-1,-30,980,2^2;5^1;7^2,7,140,1,10
12,4,13,33,10007,3000,3564,1,-72,10080,2^5;3^2;5^1;7^1,7,1440,3,40
12,4,13,33,100003,23571,3564,1,-152,100156,2^2;7^3;73^1,73,1372,24,399
12,4,13,33,1000003,932664,3564,-1,356,1000360,2^3;5^1;89^1;281^1,281,3560,280,5581
12,4,13,33,10000019,9562309,3564,1,-2676,10002696,2^3;3^1;11^1;37889^1,37889,264,9472,220258
12,4,13,33,100000007,63299669,3564,1,-14440,100014448,2^4;6250903^1,6250903,16,2083634,55373459
12,4,13,33,1000000007,239057242,3564,1,-35040,1000035048,2^3;3^1;41668127^1,41668127,24,41668126,1245766667
12,4,13,33,10000000019,3198653206,3564,-1,21036,10000021056,2^6;3^1;52083443^1,52083443,192,26041721,865087247
12,4,13,33,100000000003,23569023571,3564,1,-500804,100000500808,2^3;13^1;961543277^1,961543277,104,240385819,8783988464
12,4,13,33,1000000000039,993265993306,3564,1,177784,999999822256,2^4;62499988891^1,62499988891,16,31249994445,1245722814145
12,4,22,46,1009,937,855,-1,-22,988,2^2;13^1;19^1,19,52,18,180
12,4,22,46,10007,9428,9936,-1,112,10120,2^3;5^1;11^1;23^1,23,440,11,147
12,4,22,46,100003,44930,9936,-1,92,100096,2^8;17^1;23^1,23,4352,2,34
12,4,22,46,1000003,579713,9936,1,548,999456,2^5;3^1;29^1;359^1,359,2784,179,3568
